,HHID,Subward,Radio,Television,Newspapers,AgExtension,Veterinarian,MigrantLabor,OtherGov,LocalFriend,DistantFriend,Religious,Scientist,SocialMedia,SourceNumber,SourceIndex,PublicSources
158,2309002,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2,-0.8897600045034108,0
159,2309004,2309,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,5,0.49328663462106176,0
160,2309014,2309,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4,0.03227108824623762,0
161,2309016,2309,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,0
162,2309021,2309,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,0
163,2309022,2309,0.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,7,1.41531772737071,0
164,2309029,2309,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,0
165,2309030,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.811791097253059,0
166,2309032,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
167,2309033,2309,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,0
168,2309036,2309,0.0,4.0,3.0,0.0,3.0,0.0,1.0,4.0,0.0,1.0,1.0,4.0,8,1.8763332737455345,1
169,2309037,2309,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,7,1.41531772737071,1
170,2309039,2309,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4,0.03227108824623762,0
171,2309041,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2,-0.8897600045034108,0
172,2309042,2309,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4,0.03227108824623762,0
173,2309045,2309,2.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,5,0.49328663462106176,0
174,2309053,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2,-0.8897600045034108,0
175,2309054,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,-0.8897600045034108,0
176,2309055,2309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3,-0.4287444581285865,0
177,2309056,2309,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3,-0.4287444581285865,0
178,2309057,2309,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,4,0.03227108824623762,0
179,2309059,2309,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,5,0.49328663462106176,0
180,2309067,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2,-0.8897600045034108,0
181,2309068,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,-0.8897600045034108,0
182,2309070,2309,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,0
183,2309071,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,3,-0.4287444581285865,0
184,2309074,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
185,2309075,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2,-0.8897600045034108,0
186,2309079,2309,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,-0.8897600045034108,0
187,2309080,2309,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,4,0.03227108824623762,1
188,2309081,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3,-0.4287444581285865,0
189,2309082,2309,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,4.0,5,0.49328663462106176,1
190,2309083,2309,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,5,0.49328663462106176,1
191,2309084,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
192,2309085,2309,0.0,3.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,4.0,6,0.9543021809958859,1
193,2309086,2309,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,4.0,5,0.49328663462106176,1
194,2309087,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2,-0.8897600045034108,0
195,2309088,2309,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,4.0,5,0.49328663462106176,0
196,2309089,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2,-0.8897600045034108,0
197,2309092,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.811791097253059,0
198,2309093,2309,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4,0.03227108824623762,0
199,2309094,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
200,2309097,2309,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4,0.03227108824623762,0
201,2309098,2309,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3,-0.4287444581285865,0
202,2309100,2309,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
203,2309101,2309,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3,-0.4287444581285865,0
204,2309102,2309,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,1
205,2309127,2309,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,0
206,2309128,2309,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,5,0.49328663462106176,0
207,2309133,2309,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3,-0.4287444581285865,0
208,2309134,2309,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,5,0.49328663462106176,0
209,2309139,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2,-0.8897600045034108,0
210,2309140,2309,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,0
211,2309141,2309,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,4,0.03227108824623762,0
212,2309147,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2,-0.8897600045034108,0
