,HHID,DroughtExp,FloodExp,PestsExp,FrostExp,HailExp,HeatExp,GroundwaterExp,HazardNumber,HazardIndex
90,2304051,6.0,1.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
91,2304052,2.0,0.0,7.0,7.0,2.0,0.0,0.0,4,0.685035270206356
92,2304053,4.0,0.0,2.0,7.0,2.0,0.0,0.0,4,0.685035270206356
93,2304055,0.0,2.0,7.0,7.0,0.0,1.0,0.0,4,0.685035270206356
94,2304056,0.0,1.0,3.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
95,2304059,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
96,2304064,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,-0.8271838693220235
97,2304065,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
98,2304070,3.0,1.0,7.0,4.0,0.0,0.0,0.0,4,0.685035270206356
99,2304071,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
100,2304072,7.0,3.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
101,2304075,7.0,0.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
102,2304076,4.0,0.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
103,2304083,2.0,2.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
104,2304084,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
105,2304085,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,0.685035270206356
106,2304086,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
107,2304087,7.0,0.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
108,2304089,0.0,1.0,3.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
109,2304090,0.0,2.0,3.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
110,2304091,2.0,4.0,0.0,5.0,0.0,0.0,0.0,3,-0.07107429955783373
111,2304092,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
112,2304094,3.0,0.0,2.0,4.0,1.0,0.0,0.0,4,0.685035270206356
113,2304098,0.0,3.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
114,2304103,3.0,1.0,7.0,7.0,0.0,1.0,7.0,6,2.1972544097347355
115,2304105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
116,2304110,2.0,0.0,3.0,7.0,3.0,0.0,0.0,4,0.685035270206356
117,2304111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
118,2304112,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
119,2304118,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
120,2304119,1.0,2.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
121,2304121,2.0,1.0,4.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
122,2304122,1.0,3.0,7.0,7.0,0.0,4.0,0.0,5,1.4411448399705458
123,2304123,1.0,2.0,7.0,7.0,0.0,2.0,2.0,6,2.1972544097347355
124,2304124,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2,-0.8271838693220235
125,2304126,3.0,1.0,3.0,1.0,0.0,0.0,0.0,4,0.685035270206356
126,2304130,7.0,0.0,3.0,7.0,0.0,0.0,2.0,4,0.685035270206356
127,2304131,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
128,2304132,0.0,0.0,2.0,7.0,0.0,1.0,0.0,3,-0.07107429955783373
129,2304133,1.0,0.0,7.0,7.0,1.0,0.0,0.0,4,0.685035270206356
130,2304134,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
131,2304135,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
132,2304136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
133,2304139,0.0,1.0,7.0,7.0,0.0,0.0,7.0,4,0.685035270206356
134,2304140,0.0,1.0,7.0,7.0,0.0,0.0,2.0,4,0.685035270206356
135,2304141,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
136,2304146,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
137,2304147,7.0,0.0,7.0,7.0,0.0,0.0,7.0,4,0.685035270206356
