,HHID,IWTime,SN,Age,Gender,M_Status,Class,S_Name,Occupation,livedOutside,Address,WhenMove,BirthPlace,MoveHereYear,Caste,Secondary,Brahmin-Chetri,Gurung-Magar-Tamang,Dalit,Newar,Tharu-Darai-Kumal,Other
509,2304087,0:13,1,55,1,3,0,0,5,0,0,-1,N56,2040-11,5,0,0,0,0,0,1,0
519,2304089,0:09,1,37,1,3,6,0,2,0,0,-1,N56,2058-06,5,1,0,0,0,0,1,0
526,2304090,0:08,1,48,0,1,7,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
531,2304091,0:08,1,45,1,1,0,0,5,0,0,-1,N56,2050-03,5,0,0,0,0,0,1,0
536,2304092,0:04,1,52,0,1,7,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
540,2304094,0:05,1,50,1,1,0,0,5,0,0,-1,N56,2038-11,5,0,0,0,0,0,1,0
547,2304098,0:05,1,64,0,1,10,0,5,0,0,-1,N10,2064-06,4,1,0,0,0,1,0,0
548,2304103,0:07,1,59,0,1,0,0,5,0,0,-1,0,-1,1,0,1,0,0,0,0,0
555,2304105,0:05,1,33,1,1,7,0,5,1,0,-1,N21,2073-08,1,1,1,0,0,0,0,0
558,2304110,0:12,1,63,0,1,0,0,5,0,0,-1,N68,2020-03,3,0,0,0,1,0,0,0
565,2304111,0:10,1,52,1,1,0,0,5,1,0,-1,N56,2042-06,3,0,0,0,1,0,0,0
572,2304112,0:06,1,27,1,1,8,0,2,1,F971,2078-06,0,-1,3,1,0,0,1,0,0,0
575,2304118,0:05,1,27,1,1,12,0,5,0,0,-1,N56,2071-11,1,1,1,0,0,0,0,0
578,2304119,0:08,1,60,1,3,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
587,2304121,0:10,1,49,0,1,10,0,5,1,0,-1,N67,2066-01,1,1,1,0,0,0,0,0
589,2304122,0:05,1,59,1,1,0,0,5,0,0,-1,N64,2020-05,4,0,0,0,0,1,0,0
594,2304123,0:05,1,55,1,1,10,0,6,0,0,-1,N67,2065-07,1,1,1,0,0,0,0,0
597,2304124,0:11,1,36,1,1,9,0,5,0,0,-1,N68,2075-07,1,1,1,0,0,0,0,0
600,2304126,0:11,1,53,1,3,3,0,5,0,0,-1,N67,2058-10,1,0,1,0,0,0,0,0
606,2304130,0:08,1,35,1,1,14,0,1,0,0,-1,N56,2065-08,1,1,1,0,0,0,0,0
610,2304131,0:12,1,82,0,1,5,0,5,0,0,-1,N79,2039-10,1,0,1,0,0,0,0,0
617,2304132,0:04,1,40,1,1,4,0,5,0,0,-1,N78,2058-11,1,0,1,0,0,0,0,0
622,2304133,0:07,1,65,0,1,8,0,5,1,0,-1,F091,2035-10,1,1,1,0,0,0,0,0
627,2304134,0:07,1,37,1,1,8,0,5,0,0,-1,N12,2065-10,1,1,1,0,0,0,0,0
632,2304135,0:05,1,43,1,1,16,0,2,0,0,-1,N56,2056-03,1,1,1,0,0,0,0,0
643,2304136,0:18,1,62,0,1,10,0,0,1,0,-1,F091,2017-09,1,1,1,0,0,0,0,0
646,2304139,0:05,1,52,0,1,10,0,5,0,0,-1,0,-1,1,1,1,0,0,0,0,0
648,2304140,0:09,1,63,0,1,0,0,5,1,0,-1,N97,2042-08,1,0,1,0,0,0,0,0
654,2304141,0:10,1,60,1,1,0,0,5,0,0,-1,N56,2040-01,1,0,1,0,0,0,0,0
662,2304146,0:08,1,30,1,1,12,0,5,0,0,-1,N56,2073-01,1,1,1,0,0,0,0,0
668,2304147,0:06,1,39,1,1,10,0,5,0,0,-1,N51,2059-10,1,1,1,0,0,0,0,0
671,2304148,0:05,1,42,1,1,10,0,5,0,0,-1,N53,2053-11,1,1,1,0,0,0,0,0
672,2304149,0:05,1,50,0,1,9,0,5,1,0,-1,0,-1,1,1,1,0,0,0,0,0
675,2304150,0:10,1,58,1,1,0,0,5,0,0,-1,N56,2036-02,1,0,1,0,0,0,0,0
681,2304151,0:03,1,35,1,1,10,0,5,0,0,-1,N78,2064-08,1,1,1,0,0,0,0,0
686,2304152,0:06,1,28,1,1,10,0,5,0,0,-1,N56,2071-11,1,1,1,0,0,0,0,0
690,2304154,0:07,1,47,0,1,8,0,5,0,0,-1,0,-1,1,1,1,0,0,0,0,0
692,2304155,0:07,1,44,0,1,3,0,5,1,0,-1,0,-1,3,0,0,0,1,0,0,0
