,Unnamed: 0.1,Unnamed: 0,HHID,Subward,Radio,Television,Newspapers,AgExtension,Veterinarian,MigrantLabor,OtherGov,LocalFriend,DistantFriend,Religious,Scientist,SocialMedia,SourceNumber,SourceIndex,PublicSources,Local,National,LocalIndex,NationalIndex,Professional,Government
42,42,42,2301116,2301,4.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,5,0.4932866346210617,0,2,2,0.2742707331138763,0.599289844343614,0.19962640450010133,-0.6217802276769422
43,43,43,2301122,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2,-0.8897600045034108,0,1,0,-0.7415467969375173,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
44,44,44,2301124,2301,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,3,-0.4287444581285865,0,1,1,-0.7415467969375173,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
45,45,45,2301125,2301,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,5,0.4932866346210617,0,2,2,0.2742707331138763,0.599289844343614,-0.6995916337886435,-0.6217802276769422
46,46,46,2301126,2301,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4,0.0322710882462376,0,1,2,-0.7415467969375173,0.599289844343614,-0.6995916337886435,-0.6217802276769422
47,47,47,2301127,2301,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4,0.0322710882462376,0,2,1,0.2742707331138763,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
48,48,48,2301128,2301,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,3,-0.4287444581285865,0,2,0,0.2742707331138763,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
49,49,49,2301129,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2,-0.8897600045034108,0,1,1,-0.7415467969375173,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
50,50,50,2301130,2301,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,5,0.4932866346210617,1,2,1,0.2742707331138763,-0.3735832795908241,1.0988444427888462,1.0958447106571523
51,51,51,2301132,2301,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4,0.0322710882462376,1,3,0,1.29008826316527,-1.3464564035252622,0.19962640450010133,1.0958447106571523
52,52,52,2304001,2304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,-0.4287444581285865,0,2,1,0.2742707331138763,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
53,53,53,2304002,2304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4,0.0322710882462376,0,1,2,-0.7415467969375173,0.599289844343614,-0.6995916337886435,-0.6217802276769422
54,54,54,2304003,2304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3,-0.4287444581285865,0,2,0,0.2742707331138763,-1.3464564035252622,0.19962640450010133,-0.6217802276769422
55,55,55,2304004,2304,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,0,2,1,0.2742707331138763,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
56,56,56,2304006,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,-0.4287444581285865,0,1,1,-0.7415467969375173,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
57,57,57,2304007,2304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4,0.0322710882462376,0,2,1,0.2742707331138763,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
58,58,58,2304009,2304,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,5,0.4932866346210617,1,3,1,1.29008826316527,-0.3735832795908241,1.0988444427888462,1.0958447106571523
59,59,59,2304010,2304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,-0.8897600045034108,0,1,0,-0.7415467969375173,-1.3464564035252622,0.19962640450010133,-0.6217802276769422
60,60,60,2304011,2304,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,5,0.4932866346210617,0,2,2,0.2742707331138763,0.599289844343614,-0.6995916337886435,-0.6217802276769422
61,61,61,2304014,2304,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,6,0.954302180995886,1,4,1,2.3059057932166636,-0.3735832795908241,1.0988444427888462,1.0958447106571523
62,62,62,2304015,2304,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3,-0.4287444581285865,0,1,1,-0.7415467969375173,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
63,63,63,2304020,2304,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,1,1,2,-0.7415467969375173,0.599289844343614,1.0988444427888462,1.0958447106571523
64,64,64,2304021,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2,-0.8897600045034108,0,1,1,-0.7415467969375173,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
65,65,65,2304022,2304,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,5,0.4932866346210617,1,2,2,0.2742707331138763,0.599289844343614,0.19962640450010133,1.0958447106571523
66,66,66,2304024,2304,4.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,4,0.0322710882462376,0,2,1,0.2742707331138763,-0.3735832795908241,0.19962640450010133,-0.6217802276769422
67,67,67,2304025,2304,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,4,0.0322710882462376,0,1,2,-0.7415467969375173,0.599289844343614,-0.6995916337886435,-0.6217802276769422
68,68,68,2304026,2304,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,4.0,4,0.0322710882462376,1,1,1,-0.7415467969375173,-0.3735832795908241,0.19962640450010133,1.0958447106571523
69,69,69,2304027,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,3,-0.4287444581285865,0,1,1,-0.7415467969375173,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
70,70,70,2304028,2304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,0,2,0,0.2742707331138763,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
71,71,71,2304029,2304,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,4,0.0322710882462376,1,2,1,0.2742707331138763,-0.3735832795908241,0.19962640450010133,1.0958447106571523
72,72,72,2304030,2304,3.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5,0.4932866346210617,1,4,1,2.3059057932166636,-0.3735832795908241,1.0988444427888462,1.0958447106571523
73,73,73,2304031,2304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3,-0.4287444581285865,0,2,1,0.2742707331138763,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
74,74,74,2304032,2304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3,-0.4287444581285865,0,2,1,0.2742707331138763,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
75,75,75,2304033,2304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3,-0.4287444581285865,0,1,1,-0.7415467969375173,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
76,76,76,2304034,2304,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,9,2.3373488201203587,1,4,3,2.3059057932166636,1.572162968278052,1.998062481077591,2.8134696489912465
77,77,77,2304035,2304,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,5,0.4932866346210617,1,1,2,-0.7415467969375173,0.599289844343614,0.19962640450010133,1.0958447106571523
78,78,78,2304036,2304,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,5,0.4932866346210617,0,1,3,-0.7415467969375173,1.572162968278052,-0.6995916337886435,-0.6217802276769422
79,79,79,2304037,2304,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,6,0.954302180995886,0,1,3,-0.7415467969375173,1.572162968278052,0.19962640450010133,-0.6217802276769422
80,80,80,2304038,2304,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,0,2,1,0.2742707331138763,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
81,81,81,2304039,2304,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,9,2.3373488201203587,1,4,3,2.3059057932166636,1.572162968278052,1.998062481077591,2.8134696489912465
82,82,82,2304040,2304,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,0,3,0,1.29008826316527,-1.3464564035252622,0.19962640450010133,-0.6217802276769422
83,83,83,2304041,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0,1,0,-0.7415467969375173,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
84,84,84,2304043,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2,-0.8897600045034108,0,1,0,-0.7415467969375173,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
85,85,85,2304044,2304,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4,0.0322710882462376,0,2,1,0.2742707331138763,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
86,86,86,2304045,2304,3.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,6,0.954302180995886,0,2,3,0.2742707331138763,1.572162968278052,-0.6995916337886435,-0.6217802276769422
87,87,87,2304046,2304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,5,0.4932866346210617,0,2,1,0.2742707331138763,-0.3735832795908241,0.19962640450010133,-0.6217802276769422
