,HHID,SalienceIndex,Risk_Norm,CompositeRisk
87,2304046,0.5769230769230769,0.42857142857142855,0.2472527472527472
88,2304049,0.5576923076923077,1.0,0.5576923076923077
89,2304050,0.3846153846153845,0.7142857142857143,0.2747252747252747
90,2304051,0.5961538461538461,0.42857142857142855,0.2554945054945055
91,2304052,0.6153846153846153,1.0,0.6153846153846153
92,2304053,0.5769230769230769,0.8571428571428571,0.4945054945054944
93,2304055,0.6538461538461537,0.42857142857142855,0.28021978021978017
94,2304056,0.6923076923076923,0.5714285714285714,0.3956043956043956
95,2304059,0.6153846153846153,0.8571428571428571,0.5274725274725274
96,2304064,0.5961538461538461,0.42857142857142855,0.2554945054945055
97,2304065,0.7499999999999999,-0.2857142857142857,-0.21428571428571425
98,2304070,0.6923076923076923,0.14285714285714285,0.0989010989010989
