,HHID,Labour,Health,Technology,Finance,Education,Seeds,Soil,Water,Land,ShortWeather,LongWeather,PestSalience,Markets,Economy,Religious,Droughts,Floods,Groundwater,Heat,Pests,Frost,Hail
66,2304024,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,-1.0
67,2304025,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,0.0
68,2304026,1.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
69,2304027,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
70,2304028,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
71,2304029,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
72,2304030,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
73,2304031,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
74,2304032,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,0.0
75,2304033,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
76,2304034,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0
77,2304035,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
78,2304036,1.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0
79,2304037,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0
80,2304038,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0
81,2304039,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0
82,2304040,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,-1.0
83,2304041,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
84,2304043,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
85,2304044,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0
86,2304045,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0
87,2304046,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
88,2304049,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,2304050,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
90,2304051,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,-1.0,0.0,1.0,1.0,0.0
91,2304052,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,2304053,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
93,2304055,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
94,2304056,2.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
95,2304059,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
