,HHID,IWTime,SN,Age,Gender,M_Status,Class,S_Name,Occupation,livedOutside,Address,WhenMove,BirthPlace,MoveHereYear,Caste,Own Land,Annual Income,Land Owned,Secondary,Brahmin-Chetri,Gurung-Magar-Tamang,Dalit,Newar,Tharu-Darai-Kumal,Other
37,2301104,0:04,1,43,1,1,0,0,5,1,0,-1,N56,2072-02,3,0,300000,0.0,0,0,0,1,0,0,0
38,2301105,0:05,1,52,0,1,10,0,5,1,0,-1,N56,2061-02,2,1,250000,0.0,1,0,1,0,0,0,0
39,2301108,0:06,1,50,1,2,0,0,5,0,0,-1,N57,2049-01,2,1,50000,0.0,0,0,1,0,0,0,0
40,2301111,0:05,1,31,1,1,7,0,5,0,0,-1,N62,2066-06,1,1,500000,0.0,1,1,0,0,0,0,0
41,2301113,0:15,1,69,0,1,0,0,5,0,0,-1,N57,2035-08,2,1,315000,0.0,0,0,1,0,0,0,0
42,2301116,0:10,1,18,1,0,11,PII,4,0,0,-1,0,-1,2,1,80000,0.0,1,0,1,0,0,0,0
43,2301122,0:04,1,23,1,1,9,0,5,0,0,-1,0,-1,2,1,300000,0.0,1,0,1,0,0,0,0
44,2301124,0:06,1,34,1,1,7,0,5,0,0,-1,N56,2060-02,2,1,350000,0.0,1,0,1,0,0,0,0
45,2301125,0:07,1,28,1,0,12,0,5,1,0,-1,N12,2057-01,1,1,300000,0.0,1,1,0,0,0,0,0
46,2301126,0:07,1,44,0,1,8,0,5,1,0,-1,N57,2035-01,2,1,300000,0.0,1,0,1,0,0,0,0
47,2301127,0:07,1,43,1,1,9,0,5,0,0,-1,N29,2077-01,1,1,500000,0.0,1,1,0,0,0,0,0
48,2301128,0:06,1,40,0,1,2,0,3,0,0,-1,N57,2061-06,3,1,450000,0.0,0,0,0,1,0,0,0
49,2301129,0:13,1,52,0,1,4,0,5,0,0,-1,N48,2064-02,1,1,50000,0.0,0,1,0,0,0,0,0
50,2301130,0:06,1,29,1,1,10,0,5,0,0,-1,N56,2072-06,1,1,300000,0.0,1,1,0,0,0,0,0
51,2301132,0:10,1,49,1,3,0,0,5,0,0,-1,N11,2052-01,1,1,250000,0.0,0,1,0,0,0,0,0
52,2304001,0:05,1,73,1,1,0,0,5,0,0,-1,N62,2022-11,1,1,70000,0.0,0,1,0,0,0,0,0
53,2304002,0:04,1,50,1,1,0,0,5,0,0,-1,N56,2044-11,1,1,50000,0.0,0,1,0,0,0,0,0
54,2304003,0:09,1,37,1,1,10,0,5,0,0,-1,N56,2059-10,1,1,190000,0.0,1,1,0,0,0,0,0
55,2304004,0:04,1,53,0,1,8,0,5,1,0,-1,0,-1,1,1,400000,0.0,1,1,0,0,0,0,0
56,2304006,0:09,1,31,1,1,5,0,5,1,0,-1,N65,2070-10,3,1,300000,0.0,0,0,0,1,0,0,0
57,2304007,0:07,1,40,0,1,8,0,5,1,0,-1,0,-1,1,1,500000,0.0,1,1,0,0,0,0,0
58,2304009,0:06,1,27,1,1,10,0,6,0,0,-1,N56,2072-02,1,1,500000,0.0,1,1,0,0,0,0,0
59,2304010,0:10,1,56,1,1,0,0,5,0,0,-1,N56,2048-11,4,1,100000,0.0,0,0,0,0,1,0,0
60,2304011,0:09,1,66,0,1,0,0,5,0,0,-1,N61,2030-11,1,1,650000,0.0,0,1,0,0,0,0,0
